uri_inchikey,iupacName,prefLabel,prefLabel_en,altLabel,notation,definition,exactMatch,casNumber,ecNumber,pubchem,inScheme,source,validatie_status
KKOYBOFPUBHPFO-UHFFFAOYSA-N,tert-butylsulfinylmethylsulfanyl-diethoxy-sulfanylidenephosphorane,terbufos-sulfoxide,,,terbfSO,,,10548-10-4,,compound:CID25355,conceptscheme:chemische_stof,,status:todo
KKUQSULHNJDDGJ-UHFFFAOYSA-L,"N,N-bis(2-hydroxyethyl)carbamodithioate;nickel(2+)",,Nickel(2+) bis[bis(2-hydroxyethyl)carbamodithioate],,,,,52486-99-4,257-954-8,compound:CID104212,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KKWHDMUCBWSKGL-UHFFFAOYSA-N,"(2,3,4,5,6-pentabromophenyl)methanol",pentabroombenzylalcohol,,,,,,79415-41-1,,compound:CID2733946,conceptscheme:chemische_stof,,status:todo
KLAPGAOQRZTCBI-UHFFFAOYSA-N,tris(butylsulfanyl)phosphane,merfos,,,merfs,,,150-50-5,,compound:CID9011,conceptscheme:chemische_stof,,status:todo
KLDXJTOLSGUMSJ-JGWLITMVSA-N,"(3S,3aR,6R,6aR)-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diol",isosorbide,,,issbde,,,151380-60-8|42750-75-4|50974-60-2|49871-92-3|152881-21-5|652-67-5,,compound:CID12597,conceptscheme:chemische_stof,,status:todo
KLEBERDHDJBCJL-UHFFFAOYSA-L,azane;nickel(2+);diformate,,"Nickel(2+), hexaammine-, (OC-6-11)-, formate (1:2)",,,,,68758-60-1,272-149-1,compound:CID173049,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KLGMSAOQDHLCOS-UHFFFAOYSA-N,ethyl N-(2-diethoxyphosphinothioylsulfanylacetyl)-N-methylcarbamate,mecarbam,,,mecbm,,,2595-54-2,,compound:CID17434,conceptscheme:chemische_stof,,status:todo
KLIHYVJAYWCEDM-UHFFFAOYSA-N,"pentacyclo[12.8.0.03,12.04,9.017,22]docosa-1(14),2,4,6,8,10,12,15,17,19,21-undecaene","dibenzo(a,j)antraceen",,,DBajAnt,,,224-41-9,,compound:CID9176,conceptscheme:chemische_stof,,status:todo
KLIYVROPYNNGCN-UHFFFAOYSA-N,"2,3,3,4,4,5,5,5-octafluoro-2-(1,1,2,2,3,3,3-heptafluoropropyl)pentanoic acid",,"2,3,3,4,4,5,5,5-Octafluoro-2-(heptafluoropropyl)pentanoic acid",,,,,1882109-77-4,,compound:CID88794909,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KLJOSQAQZMLLMB-UHFFFAOYSA-L,"7,10-diazoniatricyclo[8.4.0.02,7]tetradeca-1(14),2,4,6,10,12-hexaene;dibromide;hydrate",diquatdibromide-monohydraat,,,DqDBrH2O,,,6385-62-2,,compound:CID115268,conceptscheme:chemische_stof,,status:todo
KLMCZVJOEAUDNE-IGMARMGPSA-N,francium-223,francium 223,,,Fr223,,,15756-98-6,,compound:CID6337087,conceptscheme:chemische_stof,,status:todo
KLMCZVJOEAUDNE-UHFFFAOYSA-N,FRANCIUM,francium,,,Fr,,,7440-73-5,,compound:CID6328145,conceptscheme:chemische_stof,,status:todo
KLOZZZNFJYMTNE-UHFFFAOYSA-N,2-Chloro-6-fluorobenzamide,2-chloor-6-fluorbenzamide,,,2Cl6FBenAd,,,66073-54-9,,compound:CID98564,conceptscheme:chemische_stof,,status:todo
KLSJWNVTNUYHDU-UHFFFAOYSA-N,"2H-1,2,4-triazol-3-amine",amitrol,,,amtl,,,16681-74-6|11121-00-9|30922-30-6|29212-82-6|61-82-5|65312-61-0|155-25-9|6051-75-8,,compound:CID1639,conceptscheme:chemische_stof,,status:todo
KLVRPMUTIRAYBC-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl 2-methylprop-2-enoate",,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl ester",,,,,4980-53-4,225-627-9,compound:CID78675,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMAQZIILEGKYQZ-UHFFFAOYSA-N,1-Chloro-3-nitrobenzene,1-chloor-3-nitrobenzeen,,,1Cl3NO2Ben,,wise:CAS_121-73-3,121-73-3,,compound:CID8489,conceptscheme:chemische_stof,,status:todo
KMHDVPWWYHOSMO-UHFFFAOYSA-N,"3,3,4,4,4-pentafluoro-2,2-bis(1,1,2,2,2-pentafluoroethyl)butanoic acid",,"3,3,4,4,4-Pentafluoro-2,2-bis(pentafluoroethyl)butanoic acid",,,,,1882109-58-1,,compound:CID138396446,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMHQDGHAAPSFGS-UHFFFAOYSA-N,triazanium;trioxotungsten;phosphate;trihydrate,,Ammonium 12-tungstophosphate,,,,,1311-90-6,,compound:CID90479354,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMTYGNUPYSXKGJ-UHFFFAOYSA-N,nickel(2+);silicon(4+),,Nickel silicide (NiSi2),,,,,12201-89-7,235-379-3,compound:CID138395195,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMUONIBRACKNSN-UHFFFAOYSA-N,dipotassium;oxido-(oxido(dioxo)chromio)oxy-dioxochromium,,Potassium Dichromate,,,,,7778-50-9,231-906-6,compound:CID24502,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMVZRJYWOGEEQJ-UHFFFAOYSA-N,tributyl(imidazol-1-yl)plumbane,,Tributylimidazole lead,,,,,16128-42-0,,compound:CID16683285,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KMXFZRSJMDYPPG-UHFFFAOYSA-N,TETRATETRACONTANE,tetratetracontaan,,,C44a,,,7098-22-8,,compound:CID23494,conceptscheme:chemische_stof,,status:todo
KNDDEFBFJLKPFE-UHFFFAOYSA-N,4-heptylphenol,,4-Heptylphenol,,,,,1987-50-4|72624-02-3,217-862-0|276-743-1,compound:CID16143,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KNHJIEOCVVIBIV-UHFFFAOYSA-N,"1-Isocyanato-2,3-dimethylbenzene","2,3-dimethylfenyl isocyanaat",,,23DC1yFyiCN,,,1591-99-7,,compound:CID137096,conceptscheme:chemische_stof,,status:todo
KNHUKKLJHYUCFP-UHFFFAOYSA-N,Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,clofibraat,,,clofbt,,,637-07-0,,compound:CID2796,conceptscheme:chemische_stof,,status:todo
KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-Dichloropropane","1,2-dichloorpropaan",,,12DClC3a,,wise:CAS_78-87-5,68390-96-5|78-87-5|26198-63-0,,compound:CID6564,conceptscheme:chemische_stof,,status:todo
KNLLPAOBVIKLDE-UHFFFAOYSA-N,"1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]benzene","2,4'-methoxychloor",,,24C1oxCl,,,30667-99-3,,compound:CID35405,conceptscheme:chemische_stof,,status:todo
KNMQFBWXSICVQC-UHFFFAOYSA-N,"1-amino-4-(4-amino-9,10-dioxoanthracen-1-yl)anthracene-9,10-dione",,Pigment Red 177,,,,,4051-63-2,223-754-4,compound:CID77669,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KNOJCFMGGMASGT-UHFFFAOYSA-N,"diazanium;[4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-2-hydroxy-14-(trifluoromethyl)pentadecyl] phosphate",,"Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-2-hydroxy-14-(trifluoromethyl)pentadecyl phosphate",,,,,94200-51-8,303-529-8,compound:CID44146816,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KNQDGGOTQNRXGB-UHFFFAOYSA-J,molybdenum;nickel(2+);oxygen(2-);hydroxide;phosphate,,Molybdenum nickel hydroxide oxide phosphate,,,,,68130-36-9,268-585-7,compound:CID176236,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KNSIKTVGKTWOGA-UHFFFAOYSA-N,(dioxotantaliooxy-lambda2-plumbanyl)oxy-dioxotantalum,,Lead tantalum oxide (PbTa2O6),,,,,12065-68-8,235-065-6,compound:CID16685095,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KNWODGJQLCISLC-UHFFFAOYSA-N,6-fluoro-1-(4-fluorophenyl)-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid hydrochloride,sarafloxacine,,,,,,91296-87-6|98105-99-8,,compound:CID56207,conceptscheme:chemische_stof,,status:todo
KNXPLWTUEQLSEP-UHFFFAOYSA-K,nickel(2+);carbonate;tetrahydroxide;tetrahydrate,,Nickel carbonate hydroxide tetrahydrate,,,,,39430-27-8,641-002-7,compound:CID76955832,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KOBBIZRHJWTLID-UHFFFAOYSA-N,arsane;iron,,Arsane--iron (1/2),,,,,12005-88-8,234-474-7,compound:CID170843453,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KOLXPEJIBITWIQ-UHFFFAOYSA-L,disodium;hydrogen arsorate;heptahydrate,,"Sodium arsenate, dibasic, heptahydrate",,,,,10048-95-0,677-900-0,compound:CID61460,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KOMNUTZXSVSERR-UHFFFAOYSA-N,"1,3,5-tri(prop-2-enyl)-1,3,5-triazinane-2,4,6-trione","1,3,5-triallylisocyanuraat",,,135Talicaurt,,,109521-50-8|196519-94-5|1025-15-6|123339-46-8,,compound:CID13931,conceptscheme:chemische_stof,,status:todo
KONKDVXTNQEYIF-UHFFFAOYSA-L,"dichloropalladium;tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]phosphane",,"Bis[tris(4-(1H,1H,2H,2H-perfluorodecyl)phenyl)phosphine]palladium(II) dichloride",,,,,326475-46-1,,compound:CID11491915,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KOOQXSDVIQPGQD-UHFFFAOYSA-N,,,,,,,,12044-54-1,234-955-1,compound:CID15770922,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KORSJDCBLAPZEQ-UHFFFAOYSA-N,1-isocyanato-4-[(4-isocyanatocyclohexyl)methyl]cyclohexane,,Bis(4-isocyanatocyclohexyl)methane,,,,,5124-30-1,225-863-2,compound:CID21202,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KPBOPOXIOBBZTR-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)heptanoic acid",,"2,2,3,3,4,4,5,5,6,7,7,7-Dodecafluoro-6-(trifluoromethyl)heptanoic acid",,,,,15166-06-0,,compound:CID14671316,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KPFOFXWYYUNJOZ-UHFFFAOYSA-L,dichloronickel;tributylphosphane|nickel(2+);tributylphosphane;dichloride,,Dichlorobis(tributylphosphine)nickel(II)|Nickel(2+);tributylphosphane;dichloride,,,,,15274-43-8,624-942-2,compound:CID11599050|compound:CID414009|compound:CID6102062,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KPHWPUGNDIVLNH-UHFFFAOYSA-M,"sodium 2-[2-[(2,6-dichlorophenyl)amino]phenyl]acetate","diclofenac, natrium",,,,,wise:CAS_15307-79-6,15307-79-6,,compound:CID27194,conceptscheme:chemische_stof,,status:todo
KPUREKXXPHOJQT-UHFFFAOYSA-N,"2-(4-methylsulfonyl-2-nitrobenzoyl)cyclohexane-1,3-dione",mesotrion,,,meston,,,207996-81-4|104206-82-8|435270-61-4,,compound:CID175967,conceptscheme:chemische_stof,,status:todo
KPWJBEFBFLRCLH-UHFFFAOYSA-L,cadmium(2+);dibromide|dibromocadmium,,Cadmium bromide|Cadmium bromide (CdBr2),,,,,7789-42-6,232-165-1,compound:CID24609|compound:CID9816930,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KQBFUDNJKCZEDQ-UHFFFAOYSA-N,"1,2,3,5-tetrachloro-4-(2,4,5-trichlorophenyl)benzene","2,2',3,4,4',5',6-heptachloorbifenyl",,,PCB183,,,52663-69-1,,compound:CID40476,conceptscheme:chemische_stof,,status:todo
KQCMTOWTPBNWDB-UHFFFAOYSA-N,"2,4-Dichloroaniline","2,4-dichlooraniline",,,24DClAn,,wise:CAS_554-00-7,554-00-7,,compound:CID11123,conceptscheme:chemische_stof,,status:todo
KQNPFQTWMSNSAP-UHFFFAOYSA-N,2-Methylpropanoic acid,iso-boterzuur,,,ibtzr,,,79-31-2,,compound:CID6590,conceptscheme:chemische_stof,,status:todo
KQPKPCNLIDLUMF-UHFFFAOYSA-N,"5-pentan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",secobarbital,,,secbbtl,,,76-73-3|29071-21-4,,compound:CID5193,conceptscheme:chemische_stof,,status:todo
KQRJATLINVYHEZ-UHFFFAOYSA-N,"4-methyl-3,5-dinitroaniline","4-amino-2,6-dinitrotolueen",,,4Ao26DNO2Tol,,,19406-51-0,,compound:CID29574,conceptscheme:chemische_stof,,status:todo
KQRJXUNXWLDSCN-UHFFFAOYSA-N,butyl(trimethyl)plumbane,,"Plumbane, butyltrimethyl-",,,,,54964-75-9,,compound:CID41259,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KQTVWCSONPJJPE-UHFFFAOYSA-N,"5-Ethoxy-3-(trichloromethyl)-1,2,4-thiadiazole",etridiazol,,,eTDazl,,,2593-15-9,,compound:CID17432,conceptscheme:chemische_stof,,status:todo
KQUQKVGNBPTEFO-UHFFFAOYSA-L,dimethylaminomethanedithioate; manganese(+2) cation,manam,,,manm,,,7786-33-6|6379-47-1|60226-96-2|10198-45-5|15339-36-3,,compound:CID61792,conceptscheme:chemische_stof,,status:todo
KQWJRKDZPFQKFW-HUMMXKGPSA-L,[(E)-2-[2-oxo-2-(phenylmercuriooxy)ethyl]tetradec-6-enoyl]oxy-phenylmercury|2-[(E)-dodec-4-enyl]butanedioate;phenylmercury(1+),,"Mercury, diphenyl(mu-((tetrapropenyl)butanedioato(2-)-kappaO1:kappaO4))DI-|Mercury, diphenyl(mu-((tetrapropenyl)butanedioato(2-)-O:O'))di-",,,,,27236-65-3,248-355-2,compound:CID131635071|compound:CID16683090|compound:CID170839750,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRAGGTMEQIBBTK-UHFFFAOYSA-N,ethyl(methyl)mercury,,"Mercury, ethylmethyl-",,,,,29138-86-1,,compound:CID123429,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRASZLXTDSDRKM-UHFFFAOYSA-N,"2,4-dichloro-6-[4,8-dichloro-2-(3,5-dichloro-2-hydroxyphenyl)-[1,3]oxazolo[5,4-f][1,3]benzoxazol-6-yl]phenol;nickel",,"((2,2'-(4,8-Dichlorobenzo(1,2-d:4,5-d')bisoxazole-2,6-diyl)bis(4,6-dichlorophenolato))(2-))nickel",,,,,47726-62-5,256-331-8,compound:CID136180131,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRBTVGZPQCTMQI-UHFFFAOYSA-L,nickel(2+);dithiocyanate,,Nickel dithiocyanate|Nickel thiocyanate,,,,,13689-92-4,237-205-1,compound:CID5145251|compound:CID6096174,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRDRCDDXTIGNHD-UHFFFAOYSA-N,,,,,,,,11116-83-9,234-358-6,compound:CID44146335,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRHYYFGTRYWZRS-UHFFFAOYSA-M,fluoride,fluoride,,,F,,wise:CAS_16984-48-8,16984-48-8,,compound:CID28179,conceptscheme:chemische_stof,,status:todo
KRHYYFGTRYWZRS-UHFFFAOYSA-N,"['Hydrogen fluoride', 'hydron fluoride']",waterstoffluoride,,waterstoffluoride  (HF)|waterstoffluoride (hf),HF,,,32057-09-3|37249-79-9|7664-39-3,,compound:CID14917,conceptscheme:chemische_stof,,status:todo
KRJUSWXDFZSJQD-UHFFFAOYSA-M,,,,,,,,15907-04-7,240-049-7,compound:CID5743377,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRMDCWKBEZIMAB-UHFFFAOYSA-N,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",amitriptyline,,,amttlne,,,50-48-6|30227-34-0,,compound:CID2160,conceptscheme:chemische_stof,,status:todo
KRRBFUJMQBDDPR-UHFFFAOYSA-N,tetrabutylazanium cyanide,tetrabutylammonium cyanide,,,T4C4yNH4CN,,,10442-39-4|71887-25-7,,compound:CID165872,conceptscheme:chemische_stof,,status:todo
KRTSDMXIXPKRQR-AATRIKPKSA-N,"['dimethyl (4-methylamino-4-oxobut-2-en-2-yl) phosphate', 'dimethyl [(E)-4-methylamino-4-oxobut-2-en-2-yl] phosphate']",monocrotofos,,azodrin,Mctfs|azdn,,,6923-22-4|83857-41-4|2157-98-4,,compound:CID5371562,conceptscheme:chemische_stof,,status:todo
KRVSOGSZCMJSLX-UHFFFAOYSA-L,dihydroxy(dioxo)chromium,,Chromic acid,,,,,7738-94-5,231-801-5,compound:CID24425,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KRZUZYJEQBXUIN-UHFFFAOYSA-N,N-(3-chlorophenyl)-N-(2-oxooxolan-3-yl)cyclopropanecarboxamide,cyprofuram,,,cypfrm,,,69581-33-5,,compound:CID50590,conceptscheme:chemische_stof,,status:todo
KRZWEBVPFGCYMY-UHFFFAOYSA-M,methylmercury(1+);hydroxide,,Methylmercury hydroxide,,,,,1184-57-2,214-667-2,compound:CID14451,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KSEZPRJUTHMFGZ-UHFFFAOYSA-N,"1-(3-ethyl-5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)ethanone",versalide,,,verslde,,,88-29-9|1401-76-9,,compound:CID6930,conceptscheme:chemische_stof,,status:todo
KSHLPUIIJIOBOQ-UHFFFAOYSA-N,cobalt(2+);nickel(2+);oxygen(2-),,Cobalt nickel oxide,,,,,12737-30-3,620-395-9,compound:CID138395923,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KSMVNVHUTQZITP-UHFFFAOYSA-N,"2,3,7,8-TETRACHLORODIBENZOFURAN","2,3,7,8-tetrachloordibenzofuraan",," 2,3,7,8-tetrachloordibenzofuraan|2,3,7,8-tetrachloordibenzofuraan (tecdf)|2,3,7,8-tetrachloordibenzofuran",PCDF83,,wise:CAS_51207-31-9,51207-31-9,,compound:CID39929,conceptscheme:chemische_stof,,status:todo
KSNSWCQMPDGSDD-UHFFFAOYSA-M,"cesium;1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonate",,"Perfluorohexanesulfonic acid,cesium salt (1:1)",,,,,92011-17-1,,compound:CID87123667,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KSQJQIDWVHEXCI-UHFFFAOYSA-J,nickel;nickel(2+);dicarbonate;decahydrate,,Nickel(2+) carbonate--nickel--water (2/2/3/10),,,,,12244-51-8,683-010-3,compound:CID74765564,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KSQXVLVXUFHGJQ-UHFFFAOYSA-M,sodium 2-phenylphenolate,natrium-ortho-fenylfenaat,,,NaoFyfnt,,,132-27-4|6152-33-6,,compound:CID8587,conceptscheme:chemische_stof,,status:todo
KSSZSGSRTIMTBY-UHFFFAOYSA-L,"disodium;[2-[[1,8-dihydroxy-7-[[2-[hydroxy(oxido)arsoryl]phenyl]diazenyl]-3,6-disulfonaphthalen-2-yl]diazenyl]phenyl]-hydroxyarsinate|disodium;3-[(2-arsonatophenyl)diazenyl]-6-[(2-arsonophenyl)diazenyl]-4,5-dihydroxynaphthalene-2,7-disulfonic acid|disodium;3,6-bis[(2-arsonophenyl)diazenyl]-4,5-dihydroxynaphthalene-2,7-disulfonate",,"CID 163199330|Disodium 3,6-bis((o-arsonophenyl)azo)-4,5-dihydroxynaphthalene-2,7-disulphonate|Disodium;[2-[[1,8-dihydroxy-7-[[2-[hydroxy(oxido)arsoryl]phenyl]diazenyl]-3,6-disulfonaphthalen-2-yl]diazenyl]phenyl]-hydroxyarsinate|Disodium;3-[(2-arsonatophenyl)diazenyl]-6-[(2-arsonophenyl)diazenyl]-4,5-dihydroxynaphthalene-2,7-disulfonic acid",,,,,62337-00-2,263-516-7,compound:CID102438080|compound:CID135472947|compound:CID135504733|compound:CID163199330|compound:CID170844686,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KSUWPYXSYBTWFG-UHFFFAOYSA-N,cadmium(2+);diborate,,"boric acid, cadmium salt",,,,,51222-60-7,257-067-6,compound:CID170998,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTBKWJRLKSFWMY-UHDJGPCESA-N,azanium;[(E)-2-chlorohept-1-enyl]-hydroxyarsinate,,azanium;[(E)-2-chlorohept-1-enyl]-hydroxyarsinate,,,,,300-88-9,,compound:CID6433170,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTILMTJXFBTZPK-UHFFFAOYSA-L,"6,6-dimethylheptanoate;nickel(2+)",,Nickel(2+) neononanoate,,,,,93920-10-6,300-094-6,compound:CID44146403,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTJNMSNGHNZFAL-UHFFFAOYSA-N,copper;azane;dichloride;dihydrochloride|diazanium;copper;tetrachloride|diazanium;tetrachlorocopper(2-),,Ammonium cupric chloride|Copper;azane;dichloride;dihydrochloride|Diazanium;copper;tetrachloride,,,,,15610-76-1,239-690-5,compound:CID167315|compound:CID170839647|compound:CID9794790,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTTMEOWBIWLMSE-UHFFFAOYSA-N,"2,4,6,8,9,10-hexaoxa-1,3,5,7-tetrarsatricyclo[3.3.1.13,7]decane",,Diarsenic Trioxide,,,,,12505-67-8,,compound:CID518605,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTTSJTVLWUJJMN-UHFFFAOYSA-L,cadmium(2+);dichlorate,,Cadmium dichlorate,,,,,22750-54-5,,compound:CID16040535,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KTWOOEGAPBSYNW-UHFFFAOYSA-N,"cyclopenta-1,3-diene; iron(+2) cation",ferroceen,,,ferrcn,,,102-54-5|51364-12-6|55404-68-7,,compound:CID7611,conceptscheme:chemische_stof,,status:todo
KTXUOWUHFLBZPW-UHFFFAOYSA-N,1-chloro-3-(3-chlorophenyl)benzene,,"3,3'-Dichlorobiphenyl",,,,,2050-67-1,621-287-4,compound:CID16307,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KUAYCHYPUWBYFY-UHFFFAOYSA-L,dioxido(dioxo)chromium;lead(2+) dihydride;sulfate|lead(2+);tetraoxido(oxo)chromium,,Dioxido(dioxo)chromium;lead(2+) dihydride;sulfate|Lead(2+);tetraoxido(oxo)chromium,,,,,1344-37-2,215-693-7,compound:CID155293255|compound:CID53488191,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KUAZQDVKQLNFPE-UHFFFAOYSA-N,dimethylcarbamothioylsulfanyl dimethylaminomethanedithioate,thiram,,,thirm,,wise:CAS_137-26-8,137-26-8|39456-80-9|12680-07-8|56645-31-9|93196-73-7|66173-72-6|12680-62-5,,compound:CID5455,conceptscheme:chemische_stof,,status:todo
KUCPUSUXIGWHFB-UHFFFAOYSA-N,di(phenyl)tin,difenyltin,,,,,,1011-95-6|6381-06-2,,compound:CID70535,conceptscheme:chemische_stof,,status:todo
KUDKLDDNJRWOJT-UHFFFAOYSA-N,"[4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,13-icosafluoro-2-hydroxy-12-(trifluoromethyl)tridecyl] dihydrogen phosphate",,"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,13-Icosafluoro-2-hydroxy-12-(trifluoromethyl)tridecyl dihydrogen phosphate",,,,,63295-27-2,264-076-9,compound:CID6454570,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KUFFULVDNCHOFZ-UHFFFAOYSA-N,"2,4-Dimethylphenol","2,4-xylenol",,"2,4-dimethylfenol|2,4-xylenol ",24DC1yFol,,wise:CAS_105-67-9,105-67-9,,compound:CID7771,conceptscheme:chemische_stof,,status:todo
KUPLEGDPSCCPJI-UHFFFAOYSA-N,TETRACONTANE,tetracontaan,,,C40a,,,4181-95-7,,compound:CID20149,conceptscheme:chemische_stof,,status:todo
KUXGUCNZFCVULO-UHFFFAOYSA-N,2-(4-nonylphenoxy)ethanol,,Nonoxinol,,,,,104-35-8|26027-38-3,|500-045-0,compound:CID7700,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KVAWBJDCAFOHRG-UHFFFAOYSA-N,nickel(2+);oxygen(2-),,Nickel oxide (Ni3O4),,,,,12137-09-6,,compound:CID179931,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KVBGVZZKJNLNJU-UHFFFAOYSA-N,naphthalene-2-sulfonic acid,2-naftaleensulfonzuur,,,2Nafsfzr,,,120-18-3|54257-18-0,,compound:CID8420,conceptscheme:chemische_stof,,status:todo
KVBKAPANDHPRDG-UHFFFAOYSA-N,"1,2-Dibromo-1,1,2,2-tetrafluoroethane","1,2-dibroomtetrafluorethaan",,,halon2402,,,124-73-2|76199-55-8,,compound:CID31301,conceptscheme:chemische_stof,,status:todo
KVBSMFZSUQTUOE-UHFFFAOYSA-J,azanium;pentafluorozirconium(1-),,Ammonium pentafluorozirconate(1-),,,,,13859-62-6,237-596-9,compound:CID22648490,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
KVFIJIWMDBAGDP-UHFFFAOYSA-N,2-ETHYLPYRAZINE,2-ethylpyrazine,,,2C2yprzne,,,1392-50-3|13925-00-3,,compound:CID26331,conceptscheme:chemische_stof,,status:todo
KVGLBTYUCJYMND-UHFFFAOYSA-N,ethoxy-ethyl-phenylsulfanyl-sulfanylidene-λ5-phosphane,fonofos,fonophos,,fonfs,,wise:CAS_944-22-9,944-22-9,213-408-0,compound:CID13676,conceptscheme:chemische_stof,,status:done07.2025
